web-scraper-order,dates_times_title_course_number,course_number
1550244877-12785,Time/Location: M W 9:00 AM-10:20 AM / HILLYR L19,
1550244877-12786,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 302,
1550244877-12787,Time/Location: T Th 1:00 PM-2:20 PM / WRIGHT 237,
1550244877-12788,Time/Location: M W 1:10 PM-2:30 PM / HATFLD 107,
1550244877-12789,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 208,
1550244877-12790,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 107,
1550244877-12791,Time/Location: Th 3:00 PM-4:50 PM / MCCONN 403,
1550244877-12792,Time/Location: T 1:00 PM-2:50 PM / MCCONN 403,
1550244877-12793,Time/Location: M 7:30 PM-9:30 PM / HATFLD 201,
1550244877-12794,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 201,
1550244877-12795,Time/Location: M W 1:10 PM-2:30 PM / SAGE 15,
1550244877-12796,Time/Location: M W 9:00 AM-10:20 AM / HILLYR 109,
1550244877-12797,Time/Location: T Th 1:00 PM-2:20 PM / SEELYE 101,
1550244877-12798,Time/Location: T 2:00 PM-4:30 PM / DEERFL,
1550244877-12799,Time/Location: T 3:00 PM-4:50 PM / HATFLD 202,
1550244877-12800,Time/Location: M W 1:10 PM-2:30 PM / SEELYE 302,
1550244877-12801,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 311,
1550244877-12802,Time/Location: T Th 9:00 AM-10:20 AM / HATFLD 104,
1550244877-12803,Time/Location: M W 9:00 AM-10:20 AM / DEWEY 104,
1550244877-12804,Time/Location: M W F 1:10 PM-2:30 PM / SEELYE 110,
1550244877-12805,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 204,
1550244877-12806,Time/Location: T Th 10:30 AM-11:50 AM / SEELYE 312,
1550244877-12807,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 208,
1550244877-12808,Time/Location: T Th 9:00 AM-10:20 AM / SEELYE 206,
1550244877-12809,Time/Location: T Th 10:30 AM-11:50 AM / DEWEY 104,
1550244877-12810,Time/Location: M W 2:40 PM-4:00 PM / SEELYE 308,
1550244877-12811,Time/Location: T Th 1:00 PM-2:50 PM / SEELYE 107,
1550244877-12812,,
1550244877-12813,Time/Location: T 3:00 PM-4:50 PM / DEWEY 104,
1550244877-12814,Time/Location: T 1:00 PM-2:50 PM / SEELYE 204,
1550244877-12815,Time/Location: M W 9:00 AM-10:20 AM / DEWEY 104,
1550244877-12816,Time/Location: T 7:30 PM-9:00 PM / FORD 240,
1550244877-12817,Time/Location: Th 1:00 PM-2:50 PM / DEWEY 104,
1550244877-12818,Time/Location: M W F 1:10 PM-2:30 PM / HILLYR 103,
1550244877-12819,Time/Location: T Th 1:00 PM-2:50 PM / HILLYR 103,
